x, y
1.9932969311927131, 300.332247199902
3.0151939600864908, 333.2226121482072
3.973232655902291, 355.14952211374396
4.983964536435649, 360.13289553417985
7.036568867372063, 366.11297709651234
9.002249906235027, 364.11962772833795
10.032904373563577, 364.11962772833795
12.21852307655494, 338.2059855686431
14.734351381111184, 329.2359134118584
18.30131256899802, 316.2790756031063
18.12184899021254, 286.3787347070627
15.027619767546037, 278.4053372343652
11.980067106094978, 268.43859039349337
10.032904373563577, 221.5947129523489
9.002249906235027, 203.65450172316093
6.831593802127675, 198.6710948449155
5.033321537077905, 196.6777454767412
4.052317442359312, 196.6777454767412
2.9856287938361357, 217.60801421600013
1.9932969311927131, 300.332247199902
